Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
PG,Russell Westbrook,11600,NO@OKC 02/02/2018 09:00PM ET,57.172,OKC
PF/C,DeMarcus Cousins,11400,NO@OKC 02/02/2018 09:00PM ET,0,NO
PF/C,Anthony Davis,11400,NO@OKC 02/02/2018 09:00PM ET,50.466,NO
SF/PF,Giannis Antetokounmpo,10800,NY@MIL 02/02/2018 08:00PM ET,53.656,MIL
PG/SG,Stephen Curry,10600,GS@SAC 02/02/2018 10:30PM ET,48.111,GS
SF/PF,Kevin Durant,10400,GS@SAC 02/02/2018 10:30PM ET,47.364,GS
C,Joel Embiid,9600,MIA@PHI 02/02/2018 08:00PM ET,46.572,PHI
C,Dwight Howard,9200,IND@CHA 02/02/2018 07:00PM ET,38.22,CHA
PG,Kemba Walker,8800,IND@CHA 02/02/2018 07:00PM ET,38.932,CHA
PG,Kyrie Irving,8700,ATL@BOS 02/02/2018 07:30PM ET,40.115,BOS
PG/SG,Victor Oladipo,8600,IND@CHA 02/02/2018 07:00PM ET,41.707,IND
PG,Damian Lillard,8500,POR@TOR 02/02/2018 07:30PM ET,43.778,POR
PF/C,Kristaps Porzingis,8300,NY@MIL 02/02/2018 08:00PM ET,39.506,NY
PF/C,Draymond Green,8200,GS@SAC 02/02/2018 10:30PM ET,37.205,GS
PG/SF,Ben Simmons,8100,MIA@PHI 02/02/2018 08:00PM ET,41.729,PHI
C,Rudy Gobert,8000,UTA@PHO 02/02/2018 09:00PM ET,32,UTA
C,Hassan Whiteside,7900,MIA@PHI 02/02/2018 08:00PM ET,35.182,MIA
PG/SG,Donovan Mitchell,7800,UTA@PHO 02/02/2018 09:00PM ET,32.266,UTA
SG/SF,DeMar DeRozan,7700,POR@TOR 02/02/2018 07:30PM ET,39.577,TOR
PG/SG,Jrue Holiday,7700,NO@OKC 02/02/2018 09:00PM ET,35.88,NO
PG/SG,Devin Booker,7600,UTA@PHO 02/02/2018 09:00PM ET,39.152,PHO
PF/C,Al Horford,7600,ATL@BOS 02/02/2018 07:30PM ET,34.601,BOS
PG/SG,CJ McCollum,7500,POR@TOR 02/02/2018 07:30PM ET,35.055,POR
SF,Paul George,7400,NO@OKC 02/02/2018 09:00PM ET,38.26,OKC
SG/SF,Khris Middleton,7300,NY@MIL 02/02/2018 08:00PM ET,36.311,MIL
PG,Kyle Lowry,7200,POR@TOR 02/02/2018 07:30PM ET,37.196,TOR
PG,Goran Dragic,7000,MIA@PHI 02/02/2018 08:00PM ET,31.016,MIA
PF/C,Enes Kanter,6900,NY@MIL 02/02/2018 08:00PM ET,30.954,NY
PG,Lonzo Ball,6800,LAL@BKN 02/02/2018 07:30PM ET,34.618,LAL
SG/SF,Brandon Ingram,6800,LAL@BKN 02/02/2018 07:30PM ET,29.652,LAL
PG,Dennis Schroder,6700,ATL@BOS 02/02/2018 07:30PM ET,34.75,ATL
SG,Klay Thompson,6700,GS@SAC 02/02/2018 10:30PM ET,32.705,GS
PG/SG,Spencer Dinwiddie,6700,LAL@BKN 02/02/2018 07:30PM ET,28.827,BKN
PF/C,Julius Randle,6700,LAL@BKN 02/02/2018 07:30PM ET,27.555,LAL
SF/PF,T.J. Warren,6600,UTA@PHO 02/02/2018 09:00PM ET,31.413,PHO
C,Steven Adams,6600,NO@OKC 02/02/2018 09:00PM ET,30.788,OKC
PG/SG,Terry Rozier,6600,ATL@BOS 02/02/2018 07:30PM ET,21.192,BOS
PG/SG,D'Angelo Russell,6500,LAL@BKN 02/02/2018 07:30PM ET,29.292,BKN
C,Willie Cauley-Stein,6500,GS@SAC 02/02/2018 10:30PM ET,27.639,SAC
PG/SG,Jordan Clarkson,6500,LAL@BKN 02/02/2018 07:30PM ET,24.625,LAL
PF/C,Dario Saric,6400,MIA@PHI 02/02/2018 08:00PM ET,29.043,PHI
SG/SF,Nicolas Batum,6400,IND@CHA 02/02/2018 07:00PM ET,26.347,CHA
C,Myles Turner,6300,IND@CHA 02/02/2018 07:00PM ET,29.479,IND
SG/SF,Josh Richardson,6300,MIA@PHI 02/02/2018 08:00PM ET,25.696,MIA
SF/PF,Carmelo Anthony,6200,NO@OKC 02/02/2018 09:00PM ET,30.435,OKC
SF/PF,Rondae Hollis-Jefferson,6200,LAL@BKN 02/02/2018 07:30PM ET,28.516,BKN
PF/C,Zach Randolph,6200,GS@SAC 02/02/2018 10:30PM ET,27.86,SAC
PG,Ricky Rubio,6200,UTA@PHO 02/02/2018 09:00PM ET,26.811,UTA
PG/SG,Eric Bledsoe,6100,NY@MIL 02/02/2018 08:00PM ET,0,MIL
PF/C,Domantas Sabonis,6100,IND@CHA 02/02/2018 07:00PM ET,27.575,IND
SG/SF,Kent Bazemore,6000,ATL@BOS 02/02/2018 07:30PM ET,27.873,ATL
C,Jusuf Nurkic,5900,POR@TOR 02/02/2018 07:30PM ET,30.271,POR
SG/SF,Tim Hardaway Jr.,5900,NY@MIL 02/02/2018 08:00PM ET,30.217,NY
SG/SF,Jaylen Brown,5900,ATL@BOS 02/02/2018 07:30PM ET,26.069,BOS
SF/PF,Jayson Tatum,5900,ATL@BOS 02/02/2018 07:30PM ET,25.962,BOS
PG,De'Aaron Fox,5900,GS@SAC 02/02/2018 10:30PM ET,22.128,SAC
PG,Darren Collison,5800,IND@CHA 02/02/2018 07:00PM ET,27.66,IND
SF/PF,DeMarre Carroll,5800,LAL@BKN 02/02/2018 07:30PM ET,27.122,BKN
